Fonte; Local; Sexo; Faixa etária; Raça; Carteira assinada; Serviço População Ativa; Pessoas ocupadas; Força de trabalho; Taxa de desemprego; Nível da ocupação; Participação; Renda habitual; Escolaridade 
PNADC_012022 ; Ceará ; Mulher ;  ; Parda ;  ; Trabalhador doméstico ; 148812.31214782 ; 148812.31214782 ; 148812.31214782 ; 0 ; 100 ; 100 ; 697.25807462904 ; 8.9002743489451 
PNADC_012022 ; Ceará ; Mulher ;  ; Parda ;  ;  ; 2540441.71717553 ; 910308.19088135 ; 1045207.85510512 ; 12.9064916193347 ; 35.8326736931967 ; 41.1427606482224 ; 1473.42607594481 ; 9.96091955418367 
PNADC_012022 ; Ceará ; Mulher ;  ; Preta ; Sim ; Trabalhador doméstico ; 1677.99615085 ; 1677.99615085 ; 1677.99615085 ; 0 ; 100 ; 100 ; 1206.52551453486 ; 7.30299302466961 
PNADC_012022 ; Ceará ; Mulher ;  ; Preta ; Sim ;  ; 25608.21538169 ; 25608.21538169 ; 25608.21538169 ; 0 ; 100 ; 100 ; 1886.25177236014 ; 13.3463162728715 
PNADC_012022 ; Ceará ; Mulher ;  ; Preta ; Não ; Trabalhador doméstico ; 16652.0387413 ; 16652.0387413 ; 16652.0387413 ; 0 ; 100 ; 100 ; 725.851413057707 ; 9.18677023832196 
PNADC_012022 ; Ceará ; Mulher ;  ; Preta ; Não ;  ; 34134.79471852 ; 34134.79471852 ; 34134.79471852 ; 0 ; 100 ; 100 ; 1420.17682784428 ; 10.9845446365286 
PNADC_012022 ; Ceará ; Mulher ;  ; Preta ;  ; Trabalhador doméstico ; 18330.03489215 ; 18330.03489215 ; 18330.03489215 ; 0 ; 100 ; 100 ; 769.854018444856 ; 8.97947271876368 
PNADC_012022 ; Ceará ; Mulher ;  ; Preta ;  ;  ; 231546.68180858 ; 85909.32889321 ; 96533.09801246 ; 11.0053125176597 ; 37.102379624784 ; 41.6905555538317 ; 1501.24176183981 ; 9.70193034191617 
PNADC_012022 ; Ceará ; Mulher ;  ; Negra ; Sim ; Trabalhador doméstico ; 17917.86956917 ; 17917.86956917 ; 17917.86956917 ; 0 ; 100 ; 100 ; 1492.89115497286 ; 9.68230514779755 
PNADC_012022 ; Ceará ; Mulher ;  ; Negra ; Sim ;  ; 254673.01765229 ; 254673.01765229 ; 254673.01765229 ; 0 ; 100 ; 100 ; 1676.02055134008 ; 12.3882271486946 
PNADC_012022 ; Ceará ; Mulher ;  ; Negra ; Não ; Trabalhador doméstico ; 149224.4774708 ; 149224.4774708 ; 149224.4774708 ; 0 ; 100 ; 100 ; 610.189700897795 ; 8.81129401396017 
