Fonte; Local; Sexo; Faixa etária; Raça; Carteira assinada; Posição na ocupação; Pessoas em idade ativa; Pessoas ocupadas; Força de trabalho; Taxa de desemprego; Nível da ocupação; Participação; Renda habitual; Escolaridade; Horas trabalhadas 
PNADC_012022 ; Ceará ; Homem ;  ; Indígena ; Não ;  ; 2683.69123862 ; 2683.69123862 ; 2683.69123862 ; 0 ; 100 ; 100 ; 775.232709883067 ; 13.2732149262863 ; 32.8748896113837 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Indígena ;  ; Trabalhador doméstico ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN ; NaN ; NaN ; 
PNADC_012022 ; Ceará ; Homem ;  ; Indígena ;  ;  ; 25026.60711729 ; 13641.59859118 ; 15771.39495427 ; 13.5041723909994 ; 54.5083819282698 ; 63.0185101814065 ; 1203.62185797152 ; 9.84998056728861 ; 40.6571164016383 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Parda ; Sim ; Trabalhador doméstico ; 3441.52014074 ; 3441.52014074 ; 3441.52014074 ; 0 ; 100 ; 100 ; 1340.71770252561 ; 8.5106900269025 ; 45.5284407695109 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Parda ; Sim ;  ; 345751.08133341 ; 345751.08133341 ; 345751.08133341 ; 0 ; 100 ; 100 ; 1975.85561085365 ; 11.2106393308948 ; 42.7206071454173 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Parda ; Não ; Trabalhador doméstico ; 13959.27947096 ; 13959.27947096 ; 13959.27947096 ; 0 ; 100 ; 100 ; 893.255942276135 ; 6.75193523060033 ; 40.9339195447617 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Parda ; Não ;  ; 391312.53557224 ; 391312.53557224 ; 391312.53557224 ; 0 ; 100 ; 100 ; 1081.80161176675 ; 9.46537244139878 ; 36.1408160082402 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Parda ;  ; Trabalhador doméstico ; 17400.7996117 ; 17400.7996117 ; 17400.7996117 ; 0 ; 100 ; 100 ; 983.021224947162 ; 7.1625569411352 ; 41.8426213104782 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Parda ;  ;  ; 2305899.96797326 ; 1253452.334337 ; 1387780.38928659 ; 9.67934523261591 ; 54.3584870005747 ; 60.183893861899 ; 1785.52855432272 ; 9.41673015631543 ; 38.0677230383726 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Preta ; Sim ; Trabalhador doméstico ; 375.10142182 ; 375.10142182 ; 375.10142182 ; 0 ; 100 ; 100 ; 1948.14127135778 ; 8 ; 50 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Preta ; Sim ;  ; 46918.3265585 ; 46918.3265585 ; 46918.3265585 ; 0 ; 100 ; 100 ; 1950.72562495973 ; 11.0707915951798 ; 43.0673792793074 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Preta ; Não ; Trabalhador doméstico ; 2442.4838801 ; 2442.4838801 ; 2442.4838801 ; 0 ; 100 ; 100 ; 572.725108840021 ; 4.53536466270993 ; 41.5447019976793 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Preta ; Não ;  ; 38807.54391954 ; 38807.54391954 ; 38807.54391954 ; 0 ; 100 ; 100 ; 1519.48815177077 ; 9.45087747374002 ; 37.4748131832458 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Preta ;  ; Trabalhador doméstico ; 2817.58530192 ; 2817.58530192 ; 2817.58530192 ; 0 ; 100 ; 100 ; 755.832451784725 ; 5.11609859286805 ; 42.6703446891077 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Preta ;  ;  ; 276277.20315251 ; 153560.65568627 ; 170351.34931621 ; 9.85650756353724 ; 55.5820943364269 ; 61.6595750110345 ; 1712.89829012106 ; 9.49849085127739 ; 39.6533445895829 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Negra ; Sim ; Trabalhador doméstico ; 3816.62156256 ; 3816.62156256 ; 3816.62156256 ; 0 ; 100 ; 100 ; 1400.41590434656 ; 8.46049889527981 ; 45.9679101267987 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Negra ; Sim ;  ; 392669.40789191 ; 392669.40789191 ; 392669.40789191 ; 0 ; 100 ; 100 ; 1972.85294025878 ; 11.1939544149862 ; 42.7620414102015 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Negra ; Não ; Trabalhador doméstico ; 16401.76335106 ; 16401.76335106 ; 16401.76335106 ; 0 ; 100 ; 100 ; 844.798432503338 ; 6.43823183651617 ; 41.0248747831448 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Negra ; Não ;  ; 430120.07949178 ; 430120.07949178 ; 430120.07949178 ; 0 ; 100 ; 100 ; 1121.21758897622 ; 9.46403878725938 ; 36.2611757785135 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Negra ;  ; Trabalhador doméstico ; 20218.38491362 ; 20218.38491362 ; 20218.38491362 ; 0 ; 100 ; 100 ; 950.971556455987 ; 6.89282310363192 ; 41.9579708418897 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Negra ;  ;  ; 2582177.17112577 ; 1407012.99002327 ; 1558131.7386028 ; 9.69871448193722 ; 54.4894055201427 ; 60.3417827415572 ; 1777.51163081788 ; 9.42509988470447 ; 38.2407769382304 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Não Negra ; Sim ; Trabalhador doméstico ; 734.91196034 ; 734.91196034 ; 734.91196034 ; 0 ; 100 ; 100 ; 1550.87368810003 ; 11.9882475099112 ; 42.6823366534517 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Não Negra ; Sim ;  ; 157694.71970121 ; 157694.71970121 ; 157694.71970121 ; 0 ; 100 ; 100 ; 2353.63346614598 ; 12.0904206775822 ; 42.2221161440607 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Não Negra ; Não ; Trabalhador doméstico ; 1763.52004537 ; 1763.52004537 ; 1763.52004537 ; 0 ; 100 ; 100 ; 669.026028725374 ; 9.77736203159652 ; 22.7092953184026 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Não Negra ; Não ;  ; 132263.06718276 ; 132263.06718276 ; 132263.06718276 ; 0 ; 100 ; 100 ; 1121.64478597777 ; 10.4104076403072 ; 34.5390101147292 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Não Negra ;  ; Trabalhador doméstico ; 2498.43200571 ; 2498.43200571 ; 2498.43200571 ; 0 ; 100 ; 100 ; 928.420877410919 ; 10.427692389694 ; 28.5843509244572 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Não Negra ;  ;  ; 969537.79901706 ; 547541.96037247 ; 612113.78035428 ; 10.5489897555381 ; 56.4745346625558 ; 63.1345968125075 ; 2360.78952595445 ; 10.4067193509533 ; 39.1690940561873 ; 
PNADC_012022 ; Ceará ; Homem ;  ;  ; Sim ; Trabalhador doméstico ; 4551.5335229 ; 4551.5335229 ; 4551.5335229 ; 0 ; 100 ; 100 ; 1424.70952412336 ; 9.03010574029623 ; 45.4374060164829 ; 
PNADC_012022 ; Ceará ; Homem ;  ;  ; Sim ;  ; 550364.12759312 ; 550364.12759312 ; 550364.12759312 ; 0 ; 100 ; 100 ; 2081.95721375143 ; 11.4497240230584 ; 42.607337716347 ; 
PNADC_012022 ; Ceará ; Homem ;  ;  ; Não ; Trabalhador doméstico ; 18165.28339643 ; 18165.28339643 ; 18165.28339643 ; 0 ; 100 ; 100 ; 827.500317325669 ; 6.83277180358654 ; 39.2467637113964 ; 
PNADC_012022 ; Ceará ; Homem ;  ;  ; Não ;  ; 562383.14667454 ; 562383.14667454 ; 562383.14667454 ; 0 ; 100 ; 100 ; 1121.31832034012 ; 9.69407197047831 ; 35.8561513494639 ; 
PNADC_012022 ; Ceará ; Homem ;  ;  ;  ; Trabalhador doméstico ; 22716.81691933 ; 22716.81691933 ; 22716.81691933 ; 0 ; 100 ; 100 ; 948.464298656524 ; 7.34626619205076 ; 40.4871186466826 ; 
PNADC_012022 ; Ceará ; Homem ;  ;  ;  ;  ; 3551714.97014283 ; 1954554.95039574 ; 2170245.51895708 ; 9.93853306813833 ; 55.0313008455501 ; 61.1041577716977 ; 1940.96023874462 ; 9.69966819759949 ; 38.5008323408736 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Amarela ; Sim ; Trabalhador doméstico ; 672.2914092 ; 672.2914092 ; 672.2914092 ; 0 ; 100 ; 100 ; 865.840565047904 ; 12 ; 63 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Amarela ; Sim ;  ; 2370.34441789 ; 2370.34441789 ; 2370.34441789 ; 0 ; 100 ; 100 ; 1250.2347020281 ; 12 ; 46.0399911142636 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Amarela ; Não ; Trabalhador doméstico ; 888.68556186 ; 888.68556186 ; 888.68556186 ; 0 ; 100 ; 100 ; 600.978510118902 ; 9.78356829346092 ; 31.3554777291068 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Amarela ; Não ;  ; 1677.3746214 ; 1677.3746214 ; 1677.3746214 ; 0 ; 100 ; 100 ; 735.850453534365 ; 9.77365440890413 ; 39.6283220353485 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Amarela ;  ; Trabalhador doméstico ; 1560.97697106 ; 1560.97697106 ; 1560.97697106 ; 0 ; 100 ; 100 ; 715.050970797749 ; 10.7381550830231 ; 44.9843402077845 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Amarela ;  ;  ; 18762.9116451 ; 7918.08134557 ; 8246.0821975 ; 3.97765683234932 ; 42.2007068803622 ; 43.9488409553615 ; 1506.39765832911 ; 10.0580025030293 ; 40.3187200804387 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Branca ; Sim ; Trabalhador doméstico ; 9007.34970163 ; 9007.34970163 ; 9007.34970163 ; 0 ; 100 ; 100 ; 1353.70724068465 ; 11.3340674371074 ; 45.2879662416716 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Branca ; Sim ;  ; 135683.61286461 ; 135683.61286461 ; 135683.61286461 ; 0 ; 100 ; 100 ; 2077.11086079338 ; 13.5783710496123 ; 40.2661726364519 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Branca ; Não ; Trabalhador doméstico ; 29598.59183058 ; 29598.59183058 ; 29598.59183058 ; 0 ; 100 ; 100 ; 705.836972214646 ; 8.43133664555228 ; 29.5194908262485 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Branca ; Não ;  ; 99724.22129533 ; 99724.22129533 ; 99724.22129533 ; 0 ; 100 ; 100 ; 1357.32809587503 ; 11.7368481859467 ; 36.1975346479572 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Branca ;  ; Trabalhador doméstico ; 38605.94153221 ; 38605.94153221 ; 38605.94153221 ; 0 ; 100 ; 100 ; 857.768468438083 ; 9.10372985971913 ; 33.1985144866291 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Branca ;  ;  ; 1111752.64677461 ; 416560.97522573 ; 472788.71390396 ; 11.892783610239 ; 37.4688539248588 ; 42.5264302518733 ; 2305.52624443713 ; 10.8968652772598 ; 36.944826065668 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Indígena ; Sim ; Trabalhador doméstico ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN ; NaN ; NaN ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Indígena ; Sim ;  ; 2173.14771912 ; 2173.14771912 ; 2173.14771912 ; 0 ; 100 ; 100 ; 1567.01362545494 ; 12.3103544248585 ; 47.5360797949675 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Indígena ; Não ; Trabalhador doméstico ; 1507.1351478 ; 1507.1351478 ; 1507.1351478 ; 0 ; 100 ; 100 ; 772.870591580173 ; 5.92512772967225 ; 28.8733329245498 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Indígena ; Não ;  ; 2923.10950748 ; 2923.10950748 ; 2923.10950748 ; 0 ; 100 ; 100 ; 1033.90673720948 ; 9.17226695579054 ; 34.2631670197889 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Indígena ;  ; Trabalhador doméstico ; 1507.1351478 ; 1507.1351478 ; 1507.1351478 ; 0 ; 100 ; 100 ; 772.870591580173 ; 5.92512772967225 ; 28.8733329245498 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Indígena ;  ;  ; 24517.74366669 ; 8713.15851385 ; 10427.6496075 ; 16.4417789068868 ; 35.5381744433839 ; 42.5310328277356 ; 1302.70582463677 ; 9.5077575332879 ; 37.4870292984507 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Parda ; Sim ; Trabalhador doméstico ; 16239.87341832 ; 16239.87341832 ; 16239.87341832 ; 0 ; 100 ; 100 ; 1522.48008279347 ; 9.94003096409185 ; 40.2947985088184 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Parda ; Sim ;  ; 229064.8022706 ; 229064.8022706 ; 229064.8022706 ; 0 ; 100 ; 100 ; 1652.51782925239 ; 12.281599364431 ; 41.1545170982938 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Parda ; Não ; Trabalhador doméstico ; 132572.4387295 ; 132572.4387295 ; 132572.4387295 ; 0 ; 100 ; 100 ; 595.576480506281 ; 8.77012042641774 ; 27.5443624269641 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Parda ; Não ;  ; 309407.74481404 ; 309407.74481404 ; 309407.74481404 ; 0 ; 100 ; 100 ; 1075.61955591088 ; 10.8595523273895 ; 32.0274256368001 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Parda ;  ; Trabalhador doméstico ; 148812.31214782 ; 148812.31214782 ; 148812.31214782 ; 0 ; 100 ; 100 ; 697.25807462904 ; 8.9002743489451 ; 28.9358162993561 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Parda ;  ;  ; 2540441.71717553 ; 910308.19088135 ; 1045207.85510512 ; 12.9064916193347 ; 35.8326736931967 ; 41.1427606482224 ; 1473.42607594481 ; 9.96091955418367 ; 34.6931886106274 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Preta ; Sim ; Trabalhador doméstico ; 1677.99615085 ; 1677.99615085 ; 1677.99615085 ; 0 ; 100 ; 100 ; 1206.52551453486 ; 7.30299302466961 ; 41.2814963604718 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Preta ; Sim ;  ; 25608.21538169 ; 25608.21538169 ; 25608.21538169 ; 0 ; 100 ; 100 ; 1886.25177236014 ; 13.3463162728715 ; 39.3247817727383 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Preta ; Não ; Trabalhador doméstico ; 16652.0387413 ; 16652.0387413 ; 16652.0387413 ; 0 ; 100 ; 100 ; 725.851413057707 ; 9.18677023832196 ; 34.9839326930212 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Preta ; Não ;  ; 34134.79471852 ; 34134.79471852 ; 34134.79471852 ; 0 ; 100 ; 100 ; 1420.17682784428 ; 10.9845446365286 ; 36.0113804525826 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Preta ;  ; Trabalhador doméstico ; 18330.03489215 ; 18330.03489215 ; 18330.03489215 ; 0 ; 100 ; 100 ; 769.854018444856 ; 8.97947271876368 ; 35.5604339193358 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Preta ;  ;  ; 231546.68180858 ; 85909.32889321 ; 96533.09801246 ; 11.0053125176597 ; 37.102379624784 ; 41.6905555538317 ; 1501.24176183981 ; 9.70193034191617 ; 36.0829162347615 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Negra ; Sim ; Trabalhador doméstico ; 17917.86956917 ; 17917.86956917 ; 17917.86956917 ; 0 ; 100 ; 100 ; 1492.89115497286 ; 9.68230514779755 ; 40.3872020834027 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Negra ; Sim ;  ; 254673.01765229 ; 254673.01765229 ; 254673.01765229 ; 0 ; 100 ; 100 ; 1676.02055134008 ; 12.3882271486946 ; 40.9705311513715 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Negra ; Não ; Trabalhador doméstico ; 149224.4774708 ; 149224.4774708 ; 149224.4774708 ; 0 ; 100 ; 100 ; 610.189700897795 ; 8.81129401396017 ; 28.374548026463 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Negra ; Não ;  ; 343542.53953256 ; 343542.53953256 ; 343542.53953256 ; 0 ; 100 ; 100 ; 1109.99965125826 ; 10.8712958324928 ; 32.4232761186346 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Negra ;  ; Trabalhador doméstico ; 167142.34703997 ; 167142.34703997 ; 167142.34703997 ; 0 ; 100 ; 100 ; 705.256496161631 ; 8.90809120804471 ; 29.662319631826 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Negra ;  ;  ; 2771988.39898411 ; 996217.51977456 ; 1141740.95311758 ; 12.7457487572519 ; 35.9387333705891 ; 41.1885184489232 ; 1475.80689853499 ; 9.94011020038594 ; 34.813032485247 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Não Negra ; Sim ; Trabalhador doméstico ; 9679.64111083 ; 9679.64111083 ; 9679.64111083 ; 0 ; 100 ; 100 ; 1319.82286717223 ; 11.3818906818447 ; 46.518140790381 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Não Negra ; Sim ;  ; 140227.10500162 ; 140227.10500162 ; 140227.10500162 ; 0 ; 100 ; 100 ; 2055.22851550297 ; 13.5319346603623 ; 40.4764352711843 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Não Negra ; Não ; Trabalhador doméstico ; 31994.41254024 ; 31994.41254024 ; 31994.41254024 ; 0 ; 100 ; 100 ; 706.083609112885 ; 8.37030236686847 ; 29.5400496587268 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Não Negra ; Não ;  ; 104324.70542421 ; 104324.70542421 ; 104324.70542421 ; 0 ; 100 ; 100 ; 1338.02490650062 ; 11.6384302550415 ; 36.1984965226135 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Não Negra ;  ; Trabalhador doméstico ; 41674.05365107 ; 41674.05365107 ; 41674.05365107 ; 0 ; 100 ; 100 ; 849.312524950444 ; 9.06978474177407 ; 33.4835544177643 ; 
PNADC_012022 ; Ceará ; Mulher ;  ; Não Negra ;  ;  ; 1155033.3020864 ; 433192.21508515 ; 491462.44570896 ; 11.8564971001502 ; 37.5047381147064 ; 42.5496342677916 ; 2270.49794532116 ; 10.8548114427682 ; 37.0174014003103 ; 
PNADC_012022 ; Ceará ; Mulher ;  ;  ; Sim ; Trabalhador doméstico ; 27597.51068 ; 27597.51068 ; 27597.51068 ; 0 ; 100 ; 100 ; 1432.18861795781 ; 10.2820165871899 ; 42.5375875672302 ; 
PNADC_012022 ; Ceará ; Mulher ;  ;  ; Sim ;  ; 394900.12265391 ; 394900.12265391 ; 394900.12265391 ; 0 ; 100 ; 100 ; 1810.6754474965 ; 12.7976875460596 ; 40.7950801173068 ; 
PNADC_012022 ; Ceará ; Mulher ;  ;  ; Não ; Trabalhador doméstico ; 181218.89001104 ; 181218.89001104 ; 181218.89001104 ; 0 ; 100 ; 100 ; 627.106449646071 ; 8.73019660347511 ; 28.5803187385378 ; 
PNADC_012022 ; Ceará ; Mulher ;  ;  ; Não ;  ; 447867.24495677 ; 447867.24495677 ; 447867.24495677 ; 0 ; 100 ; 100 ; 1162.75902187875 ; 11.052870532081 ; 33.3026633946444 ; 
PNADC_012022 ; Ceará ; Mulher ;  ;  ;  ; Trabalhador doméstico ; 208816.40069104 ; 208816.40069104 ; 208816.40069104 ; 0 ; 100 ; 100 ; 734.004125669229 ; 8.94154710972509 ; 30.4249337893133 ; 
PNADC_012022 ; Ceará ; Mulher ;  ;  ;  ;  ; 3927021.70107051 ; 1429409.73485971 ; 1633203.39882654 ; 12.4781557589983 ; 36.3993337360487 ; 41.588855961283 ; 1717.57983295933 ; 10.2116465320546 ; 35.4810812818189 ; 
PNADC_012022 ; Ceará ;  ;  ; Amarela ; Sim ; Trabalhador doméstico ; 672.2914092 ; 672.2914092 ; 672.2914092 ; 0 ; 100 ; 100 ; 865.840565047904 ; 12 ; 63 ; 
PNADC_012022 ; Ceará ;  ;  ; Amarela ; Sim ;  ; 6533.42341752 ; 6533.42341752 ; 6533.42341752 ; 0 ; 100 ; 100 ; 1577.61376398341 ; 11.4467260010385 ; 44.3932500592431 ; 
PNADC_012022 ; Ceará ;  ;  ; Amarela ; Não ; Trabalhador doméstico ; 888.68556186 ; 888.68556186 ; 888.68556186 ; 0 ; 100 ; 100 ; 600.978510118902 ; 9.78356829346092 ; 31.3554777291068 ; 
PNADC_012022 ; Ceará ;  ;  ; Amarela ; Não ;  ; 2843.26446711 ; 2843.26446711 ; 2843.26446711 ; 0 ; 100 ; 100 ; 645.192003918907 ; 8.09729917275729 ; 33.3073524123833 ; 
PNADC_012022 ; Ceará ;  ;  ; Amarela ;  ; Trabalhador doméstico ; 1560.97697106 ; 1560.97697106 ; 1560.97697106 ; 0 ; 100 ; 100 ; 715.050970797749 ; 10.7381550830231 ; 44.9843402077845 ; 
PNADC_012022 ; Ceará ;  ;  ; Amarela ;  ;  ; 35150.05883709 ; 16814.93282494 ; 19785.3622805 ; 15.0132679576335 ; 47.8375666535074 ; 56.2882764213831 ; 1386.8988571635 ; 9.3196282353766 ; 38.7539010259154 ; 
PNADC_012022 ; Ceará ;  ;  ; Branca ; Sim ; Trabalhador doméstico ; 9742.26166197 ; 9742.26166197 ; 9742.26166197 ; 0 ; 100 ; 100 ; 1368.58058174353 ; 11.3850813319711 ; 45.0914093830036 ; 
PNADC_012022 ; Ceará ;  ;  ; Branca ; Sim ;  ; 285961.36765008 ; 285961.36765008 ; 285961.36765008 ; 0 ; 100 ; 100 ; 2237.71003635711 ; 12.8372342752085 ; 41.2857506032527 ; 
PNADC_012022 ; Ceará ;  ;  ; Branca ; Não ; Trabalhador doméstico ; 31362.11187595 ; 31362.11187595 ; 31362.11187595 ; 0 ; 100 ; 100 ; 703.754004228757 ; 8.50894548787727 ; 29.1365473453222 ; 
PNADC_012022 ; Ceará ;  ;  ; Branca ; Não ;  ; 228137.70739376 ; 228137.70739376 ; 228137.70739376 ; 0 ; 100 ; 100 ; 1231.09993400979 ; 11.0002111963866 ; 35.3363340928868 ; 
PNADC_012022 ; Ceará ;  ;  ; Branca ;  ; Trabalhador doméstico ; 41104.37353792 ; 41104.37353792 ; 41104.37353792 ; 0 ; 100 ; 100 ; 862.083542882054 ; 9.18640458703635 ; 32.9180534813622 ; 
PNADC_012022 ; Ceará ;  ;  ; Branca ;  ;  ; 2039876.69148239 ; 941564.48552765 ; 1057591.81922097 ; 10.9708993190574 ; 46.1579118708107 ; 51.8458700781767 ; 2363.9519386684 ; 10.695585607286 ; 38.1805712456509 ; 
PNADC_012022 ; Ceará ;  ;  ; Indígena ; Sim ; Trabalhador doméstico ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN ; NaN ; NaN ; 
PNADC_012022 ; Ceará ;  ;  ; Indígena ; Sim ;  ; 5427.03363523 ; 5427.03363523 ; 5427.03363523 ; 0 ; 100 ; 100 ; 1685.72263846806 ; 11.3545432274345 ; 43.8413540254383 ; 
PNADC_012022 ; Ceará ;  ;  ; Indígena ; Não ; Trabalhador doméstico ; 1507.1351478 ; 1507.1351478 ; 1507.1351478 ; 0 ; 100 ; 100 ; 772.870591580173 ; 5.92512772967225 ; 28.8733329245498 ; 
PNADC_012022 ; Ceará ;  ;  ; Indígena ; Não ;  ; 5606.8007461 ; 5606.8007461 ; 5606.8007461 ; 0 ; 100 ; 100 ; 910.092595735427 ; 10.6283199555694 ; 33.5986690134521 ; 
PNADC_012022 ; Ceará ;  ;  ; Indígena ;  ; Trabalhador doméstico ; 1507.1351478 ; 1507.1351478 ; 1507.1351478 ; 0 ; 100 ; 100 ; 772.870591580173 ; 5.92512772967225 ; 28.8733329245498 ; 
PNADC_012022 ; Ceará ;  ;  ; Indígena ;  ;  ; 49544.35078398 ; 22354.75710503 ; 26199.04456177 ; 14.6733879843452 ; 45.120698427354 ; 52.8799835848114 ; 1242.24157115736 ; 9.67093034069745 ; 39.4215193739895 ; 
